Unnamed: 0,sentence_original,sentence_num,stimulus_id,experiment,story,passage_index,passage_label,passage_category,sentence_paraphrase_1,sentence_paraphrase_2,sentence_paraphrase_3,sentence_original_stripped,sentence_paraphrase_1_stripped,sentence_paraphrase_2_stripped,sentence_paraphrase_3_stripped,sentence_original_length,sentence_paraphrase_1_length,sentence_paraphrase_2_length,sentence_paraphrase_3_length,sentence_paraphrase_closest,sentence_paraphrase_closest_candidate_num,diff_sentence_length_original_paraphrase,sentence_paraphrase_post_inspection,manual_candidate_choice,manual_replacement
117,Grooms are also jazzing up their tuxedos with colorful shirts and satin ties.,117,243sentences.117,243sentences,243sentences.tuxedo,35,tuxedo,tuxedo,Grooms are giving their tuxedos a pop of color with bright shirts and silk ties.,Tuxedos are being spruced up by grooms with shirts of vibrant hues and silk ties.,A touch of color is being added to tuxedos by grooms with cheerful shirts and silk ties.,grooms are also jazzing up their tuxedos with colorful shirts and satin ties.,grooms are giving their tuxedos a pop of color with bright shirts and silk ties.,tuxedos are being spruced up by grooms with shirts of vibrant hues and silk ties.,a touch of color is being added to tuxedos by grooms with cheerful shirts and silk ties.,13,15,15,17,grooms are giving their tuxedos a pop of color with bright shirts and silk ties.,1,2,colorful shirts and satin ties are being used by grooms to add flair to their tuxedos.,,1
118,A tuxedo jacket is a tailless dinner jacket with black silk lapels.,118,243sentences.118,243sentences,243sentences.tuxedo,36,tuxedo,tuxedo,A tailless jacket with black silk lapels is known as a tuxedo jacket.,A tuxedo jacket is a type of tailless dinner jacket with black silk notched lapels.,A tailless dinner jacket with black silk lapels is referred to as a tuxedo jacket.,a tuxedo jacket is a tailless dinner jacket with black silk lapels.,a tailless jacket with black silk lapels is known as a tuxedo jacket.,a tuxedo jacket is a type of tailless dinner jacket with black silk notched lapels.,a tailless dinner jacket with black silk lapels is referred to as a tuxedo jacket.,12,13,15,15,a tailless jacket with black silk lapels is known as a tuxedo jacket.,1,1,a tailless jacket with black silk lapels is known as a tuxedo jacket.,,
119,Black tie trousers should be a perfect match to the tuxedo jacket.,119,243sentences.119,243sentences,243sentences.tuxedo,36,tuxedo,tuxedo,The trousers for a black tie event should be a precise match to the tuxedo jacket.,The trousers worn for a black tie occasion should blend seamlessly with the tuxedo jacket.,The tuxedo jacket and trousers should be a perfect match for a black tie event.,black tie trousers should be a perfect match to the tuxedo jacket.,the trousers for a black tie event should be a precise match to the tuxedo jacket.,the trousers worn for a black tie occasion should blend seamlessly with the tuxedo jacket.,the tuxedo jacket and trousers should be a perfect match for a black tie event.,12,16,15,15,the trousers worn for a black tie occasion should blend seamlessly with the tuxedo jacket.,2,3,the trousers worn for a black tie occasion should blend seamlessly with the tuxedo jacket.,,
120,The shirt should always be plain white and the tie should be black and match the jacket lapels.,120,243sentences.120,243sentences,243sentences.tuxedo,36,tuxedo,tuxedo,"The shirt for black tie events must always be a plain white color, and the tie should be black and coordinate with the jacket lapels.","The shirt for formal occasions should be an unadorned white, while the tie must be a matching black color to the jacket lapels.","The shirt at black tie events must always be a crisp white, and the tie must be a black color that blends with the jacket lapels.",the shirt should always be plain white and the tie should be black and match the jacket lapels.,the shirt for black tie events must always be a plain white color and the tie should be black and coordinate with the jacket lapels.,the shirt for formal occasions should be an unadorned white while the tie must be a matching black color to the jacket lapels.,the shirt at black tie events must always be a crisp white and the tie must be a black color that blends with the jacket lapels.,18,25,23,26,the shirt for formal occasions should be an unadorned white while the tie must be a matching black color to the jacket lapels.,2,5,a plain white shirt must be worn and the black tie complementing the jacket lapels is necessary.,,1
121,The concert pianist went blind in adulthood.,121,243sentences.121,243sentences,243sentences.blindness,37,blindness,blindness,The concert pianist lost her sight as an adult.,The concert pianist became blind in adulthood due to a genetic condition that gradually impacted her eyes.,The pianist became blind in her adulthood from a genetic disorder that progressively damaged her eyesight.,the concert pianist went blind in adulthood.,the concert pianist lost her sight as an adult.,the concert pianist became blind in adulthood due to a genetic condition that gradually impacted her eyes.,the pianist became blind in her adulthood from a genetic disorder that progressively damaged her eyesight.,7,9,17,16,the concert pianist lost her sight as an adult.,1,2,the concert pianist lost her sight as an adult.,,
122,Her blindness was caused by a genetic condition that slowly damaged the eyes.,122,243sentences.122,243sentences,243sentences.blindness,37,blindness,blindness,Her blindness was the result of a genetic issue that damaged her eyes over time.,A genetic condition was responsible for the pianist's loss of sight.,The pianist's blindness was caused by a genetic ailment that progressively affected her eyesight.,her blindness was caused by a genetic condition that slowly damaged the eyes.,her blindness was the result of a genetic issue that damaged her eyes over time.,a genetic condition was responsible for the pianist's loss of sight.,the pianist's blindness was caused by a genetic ailment that progressively affected her eyesight.,13,15,11,14,the pianist's blindness was caused by a genetic ailment that progressively affected her eyesight.,3,1,the pianist's blindness was caused by a genetic ailment that progressively affected her eyesight.,,
123,She told interviewers that being blind was an advantage to a pianist.,123,243sentences.123,243sentences,243sentences.blindness,37,blindness,blindness,She informed interviewers that being blind was an asset for a pianist.,She shared with interviewers that her blindness was actually a benefit for her career as a pianist.,"In interviews, she conveyed that being blind was advantageous to her career as a pianist.",she told interviewers that being blind was an advantage to a pianist.,she informed interviewers that being blind was an asset for a pianist.,she shared with interviewers that her blindness was actually a benefit for her career as a pianist.,in interviews she conveyed that being blind was advantageous to her career as a pianist.,12,12,17,15,she informed interviewers that being blind was an asset for a pianist.,1,0,she informed interviewers that being blind was an asset for a pianist.,,
124,"She had no visual distractions, so she could concentrate more fully on her music.",124,243sentences.124,243sentences,243sentences.blindness,37,blindness,blindness,"She had no visual distractions, allowing her to concentrate fully on her music.","With no visual interruptions, she was able to concentrate solely on her music.",The absence of visual distractions enabled her to focus exclusively on her music.,she had no visual distractions so she could concentrate more fully on her music.,she had no visual distractions allowing her to concentrate fully on her music.,with no visual interruptions she was able to concentrate solely on her music.,the absence of visual distractions enabled her to focus exclusively on her music.,14,13,13,13,she had no visual distractions allowing her to concentrate fully on her music.,1,1,she had no visual distractions allowing her to concentrate fully on her music.,,
125,The government defines blindness as vision insufficient for the ordinary activities of life.,125,243sentences.125,243sentences,243sentences.blindness,38,blindness,blindness,The government determines blindness as vision that is insufficient for normal life activities.,The government classifies blindness as a level of vision that can't support typical daily activities.,"Blindness, according to the government, is defined as vision that is inadequate for regular life activities.",the government defines blindness as vision insufficient for the ordinary activities of life.,the government determines blindness as vision that is insufficient for normal life activities.,the government classifies blindness as a level of vision that can't support typical daily activities.,blindness according to the government is defined as vision that is inadequate for regular life activities.,13,13,15,16,the government determines blindness as vision that is insufficient for normal life activities.,1,0,the government determines blindness as vision that is insufficient for normal life activities.,,
126,"By establishing the parameters of legal blindness, resources can be focused on the legally blind.",126,243sentences.126,243sentences,243sentences.blindness,38,blindness,blindness,Establishing the criteria for legal blindness allows for resources to be directed towards those who meet the criteria.,"By setting the parameters of legal blindness, resources can be allocated effectively to those who are legally blind.",The definition of legal blindness enables the focusing of resources towards those who fit the criteria.,by establishing the parameters of legal blindness resources can be focused on the legally blind.,establishing the criteria for legal blindness allows for resources to be directed towards those who meet the criteria.,by setting the parameters of legal blindness resources can be allocated effectively to those who are legally blind.,the definition of legal blindness enables the focusing of resources towards those who fit the criteria.,15,18,18,16,the definition of legal blindness enables the focusing of resources towards those who fit the criteria.,3,1,the definition of legal blindness enables the focusing of resources towards those who fit the criteria.,,
127,This may overlook those who have vision problems but who do not meet the standard.,127,243sentences.127,243sentences,243sentences.blindness,38,blindness,blindness,This definition may exclude individuals who have vision problems but don't meet the legal standard.,The legal definition may overlook people who have vision difficulties but fall short of the standard.,Those who have vision problems but do not meet the criteria may be disregarded by the legal definition.,this may overlook those who have vision problems but who do not meet the standard.,this definition may exclude individuals who have vision problems but don't meet the legal standard.,the legal definition may overlook people who have vision difficulties but fall short of the standard.,those who have vision problems but do not meet the criteria may be disregarded by the legal definition.,15,15,16,18,this definition may exclude individuals who have vision problems but don't meet the legal standard.,1,0,this definition may exclude individuals who have vision problems but don't meet the legal standard.,,
128,"In developing countries, blindness in children is usually caused by infectious disease and nutritional deficiencies.",128,243sentences.128,243sentences,243sentences.blindness,39,blindness,blindness,"In developing nations, blindness in children is frequently caused by diseases and malnutrition.",Blindness in children in developing countries is often the result of disease and lack of proper nutrition.,Blindness among children in developing countries is commonly caused by infections and malnutrition.,in developing countries blindness in children is usually caused by infectious disease and nutritional deficiencies.,in developing nations blindness in children is frequently caused by diseases and malnutrition.,blindness in children in developing countries is often the result of disease and lack of proper nutrition.,blindness among children in developing countries is commonly caused by infections and malnutrition.,15,13,17,13,in developing nations blindness in children is frequently caused by diseases and malnutrition.,1,2,in developing nations blindness in children is frequently caused by infectious diseases and malnutrition.,,1
129,These causes can often be prevented by medicine and vitamin supplements.,129,243sentences.129,243sentences,243sentences.blindness,39,blindness,blindness,The occurrence of these causes can frequently be prevented through the use of medication and vitamin supplementation.,These reasons for them can often be averted by taking medicine and vitamins.,These root causes can usually be thwarted through the intake of medicine and vitamin supplements.,these causes can often be prevented by medicine and vitamin supplements.,the occurrence of these causes can frequently be prevented through the use of medication and vitamin supplementation.,these reasons for them can often be averted by taking medicine and vitamins.,these root causes can usually be thwarted through the intake of medicine and vitamin supplements.,11,17,13,15,these reasons for them can often be averted by taking medicine and vitamins.,2,2,prevention of these causes is frequently possible through medication and vitamin supplements.,,1
130,"In developed countries, blindness is more likely to be caused by genetic problems.",130,243sentences.130,243sentences,243sentences.blindness,39,blindness,blindness,"In industrialized nations, genetic issues are more likely to result in blindness.",Blindness is more commonly caused by hereditary problems in developed countries.,"In countries that are highly developed, blindness tends to be caused more by hereditary issues.",in developed countries blindness is more likely to be caused by genetic problems.,in industrialized nations genetic issues are more likely to result in blindness.,blindness is more commonly caused by hereditary problems in developed countries.,in countries that are highly developed blindness tends to be caused more by hereditary issues.,13,12,11,15,in industrialized nations genetic issues are more likely to result in blindness.,1,1,genetic issues are a more probable cause of blindness in developed nations.,,1
131,No one really knows exactly how a taste gets from your mouth to your brain.,131,243sentences.131,243sentences,243sentences.taste,40,taste,taste,No one is entirely sure how the sensation of taste gets from the mouth to the brain.,The precise way a taste reaches from the mouth to the brain is unknown.,The exact mechanism for transmitting the taste from the mouth to the brain is not clear.,no one really knows exactly how a taste gets from your mouth to your brain.,no one is entirely sure how the sensation of taste gets from the mouth to the brain.,the precise way a taste reaches from the mouth to the brain is unknown.,the exact mechanism for transmitting the taste from the mouth to the brain is not clear.,15,17,14,16,the precise way a taste reaches from the mouth to the brain is unknown.,2,1,the precise way a taste reaches from the mouth to the brain is unknown.,,
132,Scientists think the process begins when a molecule of food touches a taste bud cell.,132,243sentences.132,243sentences,243sentences.taste,40,taste,taste,Researchers believe the process of transmitting taste begins when food molecules interact with taste bud cells.,Scientists theorize that the journey of taste starts when food molecules touch taste bud cells.,The scientific community thinks that the transmission of taste starts with the touch of food molecules to taste bud cells.,scientists think the process begins when a molecule of food touches a taste bud cell.,researchers believe the process of transmitting taste begins when food molecules interact with taste bud cells.,scientists theorize that the journey of taste starts when food molecules touch taste bud cells.,the scientific community thinks that the transmission of taste starts with the touch of food molecules to taste bud cells.,15,16,15,20,scientists theorize that the journey of taste starts when food molecules touch taste bud cells.,2,0,scientists theorize that the process starts when food molecules touch taste bud cells.,,1
133,The cell carries a taste message to taste nerves beneath the cell.,133,243sentences.133,243sentences,243sentences.taste,40,taste,taste,The taste bud cell then transmits the taste message to the taste nerves located under the cell.,The taste bud cell conveys the taste information to the taste nerves found underneath it.,The cell responsible for taste then sends the taste information to the nerves below it.,the cell carries a taste message to taste nerves beneath the cell.,the taste bud cell then transmits the taste message to the taste nerves located under the cell.,the taste bud cell conveys the taste information to the taste nerves found underneath it.,the cell responsible for taste then sends the taste information to the nerves below it.,12,17,15,15,the taste bud cell conveys the taste information to the taste nerves found underneath it.,2,3,the taste bud cell conveys the taste information to the taste nerves found underneath it.,,
134,It was once believed that each taste bud responded to one of the four basic tastes.,134,243sentences.134,243sentences,243sentences.taste,41,taste,taste,It was previously thought that each taste bud only responded to one of the four fundamental tastes.,"Historically, it was believed that every taste bud only responded to a single one of the four main tastes.",The conventional wisdom used to be that each taste bud only responded to a solitary one of the four fundamental tastes.,it was once believed that each taste bud responded to one of the four basic tastes.,it was previously thought that each taste bud only responded to one of the four fundamental tastes.,historically it was believed that every taste bud only responded to a single one of the four main tastes.,the conventional wisdom used to be that each taste bud only responded to a solitary one of the four fundamental tastes.,16,17,19,21,it was previously thought that each taste bud only responded to one of the four fundamental tastes.,1,1,it was previously thought that each taste bud only responded to one of the four fundamental tastes.,,
135,"That is, a taste bud on the tip of the tongue would respond only if you were eating something sweet.",135,243sentences.135,243sentences,243sentences.taste,41,taste,taste,"For example, it was thought that a taste bud located at the tip of the tongue would only respond if sweet food was consumed.","For instance, a taste bud located at the tongue's tip was believed to only respond when sweet food was eaten.","It was assumed, for instance, that a taste bud located at the tip of the tongue would only respond when one ate something sweet.",that is a taste bud on the tip of the tongue would respond only if you were eating something sweet.,for example it was thought that a taste bud located at the tip of the tongue would only respond if sweet food was consumed.,for instance a taste bud located at the tongue's tip was believed to only respond when sweet food was eaten.,it was assumed for instance that a taste bud located at the tip of the tongue would only respond when one ate something sweet.,20,24,20,24,for instance a taste bud located at the tongue's tip was believed to only respond when sweet food was eaten.,2,0,for instance a taste bud located at the tongue's tip was believed to only respond when sweet food was eaten.,,
136,Scientists now think that a single taste bud can be sensitive to all of the basic tastes.,136,243sentences.136,243sentences,243sentences.taste,41,taste,taste,Scientists now believe that a single taste bud can be responsive to all of the main tastes.,It is currently thought that a single taste bud can respond to all of the fundamental tastes.,The current scientific understanding is that a single taste bud can respond to all of the four basic tastes.,scientists now think that a single taste bud can be sensitive to all of the basic tastes.,scientists now believe that a single taste bud can be responsive to all of the main tastes.,it is currently thought that a single taste bud can respond to all of the fundamental tastes.,the current scientific understanding is that a single taste bud can respond to all of the four basic tastes.,17,17,17,19,scientists now believe that a single taste bud can be responsive to all of the main tastes.,1,0,scientists now believe that a single taste bud can be responsive to all of the main tastes.,,
137,"My sense of taste isn't very good, so I tend to eat foods with very strong flavors.",137,243sentences.137,243sentences,243sentences.taste,42,taste,taste,"Due to my poor sense of taste, I tend to consume foods with very pronounced flavors.","My sense of taste is not very keen, so I often eat foods with intense flavors.","I have a weak sense of taste, so I frequently eat foods with strong flavors.",my sense of taste isn't very good so i tend to eat foods with very strong flavors.,due to my poor sense of taste i tend to consume foods with very pronounced flavors.,my sense of taste is not very keen so i often eat foods with intense flavors.,i have a weak sense of taste so i frequently eat foods with strong flavors.,17,16,16,15,due to my poor sense of taste i tend to consume foods with very pronounced flavors.,1,1,due to my poor sense of taste i tend to consume foods with very pronounced flavors.,,
138,"I like lots of hot sauce, and I drink my coffee with no cream, so it's very bitter.",138,243sentences.138,243sentences,243sentences.taste,42,taste,taste,"I have a fondness for a lot of hot sauce, and I take my coffee black, which makes it very bitter.","I love having lots of hot sauce and I drink my coffee with no cream, resulting in a very bitter taste.","I am a fan of hot sauce and I drink my coffee black, therefore it is quite bitter.",i like lots of hot sauce and i drink my coffee with no cream so it's very bitter.,i have a fondness for a lot of hot sauce and i take my coffee black which makes it very bitter.,i love having lots of hot sauce and i drink my coffee with no cream resulting in a very bitter taste.,i am a fan of hot sauce and i drink my coffee black therefore it is quite bitter.,18,21,21,18,i am a fan of hot sauce and i drink my coffee black therefore it is quite bitter.,3,0,i am a fan of hot sauce and i drink my coffee black therefore it is quite bitter.,,
139,"I can't even taste sweetness well, so when I make cookies I add extra sugar.",139,243sentences.139,243sentences,243sentences.taste,42,taste,taste,"I don't have a strong sense of taste for sweetness, so I add extra sugar when I bake cookies.","I have a diminished ability to taste sweetness, so when I make cookies I add more sugar.","My taste for sweetness is weak, therefore I put extra sugar in my cookies.",i can't even taste sweetness well so when i make cookies i add extra sugar.,i don't have a strong sense of taste for sweetness so i add extra sugar when i bake cookies.,i have a diminished ability to taste sweetness so when i make cookies i add more sugar.,my taste for sweetness is weak therefore i put extra sugar in my cookies.,15,19,17,14,my taste for sweetness is weak therefore i put extra sugar in my cookies.,3,1,my taste for sweetness is weak therefore i put extra sugar in my cookies.,,
140,Hip fractures are a real problem for aging individuals.,140,243sentences.140,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture,Hip fractures are a common issue for older individuals.,Hip fractures pose a significant problem for the aging population.,Hip fractures are a major concern for elderly individuals.,hip fractures are a real problem for aging individuals.,hip fractures are a common issue for older individuals.,hip fractures pose a significant problem for the aging population.,hip fractures are a major concern for elderly individuals.,9,9,10,9,hip fractures are a common issue for older individuals.,1,0,hip fractures are a real issue for older individuals.,,1
141,Patients are faced with the pain of the break and the difficult process of healing.,141,243sentences.141,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture,Patients must endure the pain from the break and the arduous recovery process.,The patients are plagued with the ache of the break and the challenging healing process.,Patients experience the pain of the break and face a difficult healing journey.,patients are faced with the pain of the break and the difficult process of healing.,patients must endure the pain from the break and the arduous recovery process.,the patients are plagued with the ache of the break and the challenging healing process.,patients experience the pain of the break and face a difficult healing journey.,15,13,15,13,the patients are plagued with the ache of the break and the challenging healing process.,2,0,the patients are plagued with the ache of the break and the challenging healing process.,,
142,Families have to adjust to the patient's loss of independence.,142,243sentences.142,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture,The patient's family must adapt to the loss of independence.,The patient's family has to get used to the patient's newfound dependence.,The family must adjust to the patient's dependence after the injury.,families have to adjust to the patient's loss of independence.,the patient's family must adapt to the loss of independence.,the patient's family has to get used to the patient's newfound dependence.,the family must adjust to the patient's dependence after the injury.,10,10,12,11,the patient's family must adapt to the loss of independence.,1,0,the patient's family must adapt to the loss of independence.,,
143,"And for society, hip fractures involve substantial expense and time in the hospital.",143,243sentences.143,243sentences,243sentences.bone_fracture,43,bone_fracture,bone_fracture,"For society, hip fractures are a costly and time-consuming matter in hospitals.","Hip fractures are an expensive and lengthy affair for society, particularly in hospitals.","Hip fractures are a drain on society in terms of both time and cost, especially in hospitals.",and for society hip fractures involve substantial expense and time in the hospital.,for society hip fractures are a costly and time-consuming matter in hospitals.,hip fractures are an expensive and lengthy affair for society particularly in hospitals.,hip fractures are a drain on society in terms of both time and cost especially in hospitals.,13,12,13,17,hip fractures are an expensive and lengthy affair for society particularly in hospitals.,2,0,significant hospitalization time and expenses are incurred by society as a result of hip fractures.,,1
144,"Halfway through the race, I heard a sound like someone snapping their fingers.",144,243sentences.144,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture,I heard a snap-like sound while I was in the middle of the race.,"During the race, I heard a sound similar to someone snapping their fingers.","Halfway through the race, I heard a sound resembling a snap.",halfway through the race i heard a sound like someone snapping their fingers.,i heard a snap-like sound while i was in the middle of the race.,during the race i heard a sound similar to someone snapping their fingers.,halfway through the race i heard a sound resembling a snap.,13,14,13,11,during the race i heard a sound similar to someone snapping their fingers.,2,0,during the race i heard a sound similar to someone snapping their fingers.,,
145,I felt a crunch and I knew instantly that my foot was broken.,145,243sentences.145,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture,I felt a crunch and immediately knew my foot was broken.,I felt a crunch and instantly realized that my foot was broken.,I felt a crunch and immediately recognized that I had a broken foot.,i felt a crunch and i knew instantly that my foot was broken.,i felt a crunch and immediately knew my foot was broken.,i felt a crunch and instantly realized that my foot was broken.,i felt a crunch and immediately recognized that i had a broken foot.,13,11,12,13,i felt a crunch and immediately recognized that i had a broken foot.,3,0,i felt a crunch and immediately recognized that i had a broken foot.,,
146,Every step felt like running on spikes.,146,243sentences.146,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture,Every step was like walking on spikes.,Every step felt like I was walking on nails.,Every step felt like I was walking on needles.,every step felt like running on spikes.,every step was like walking on spikes.,every step felt like i was walking on nails.,every step felt like i was walking on needles.,7,7,9,9,every step was like walking on spikes.,1,0,every step was like walking on spikes.,,
147,"At the doctor's office afterward, the x-ray clearly showed the fracture.",147,243sentences.147,243sentences,243sentences.bone_fracture,44,bone_fracture,bone_fracture,The x-ray at the doctor's office revealed the fracture clearly.,The doctor's office's x-ray displayed the fracture clearly.,The fracture was evident in the x-ray taken at the doctor's office.,at the doctor's office afterward the x-ray clearly showed the fracture.,the x-ray at the doctor's office revealed the fracture clearly.,the doctor's office's x-ray displayed the fracture clearly.,the fracture was evident in the x-ray taken at the doctor's office.,11,10,8,12,the x-ray at the doctor's office revealed the fracture clearly.,1,1,the x-ray at the doctor's office revealed the fracture clearly.,,
148,There are a few different types of bone fracture.,148,243sentences.148,243sentences,243sentences.bone_fracture,45,bone_fracture,bone_fracture,There are several different types of bone breaks.,There are multiple kinds of bone fractures.,There are a variety of bone fracture types.,there are a few different types of bone fracture.,there are several different types of bone breaks.,there are multiple kinds of bone fractures.,there are a variety of bone fracture types.,9,8,7,8,there are several different types of bone breaks.,1,1,there are several different types of bone fractures.,,1
149,"In closed or simple fractures, the bone is broken but the skin is intact.",149,243sentences.149,243sentences,243sentences.bone_fracture,45,bone_fracture,bone_fracture,"In simple fractures, the bone is broken but the skin remains unbroken.",Simple fractures are when the bone is broken but the skin is not.,"In a closed fracture, the bone is broken but the skin remains intact.",in closed or simple fractures the bone is broken but the skin is intact.,in simple fractures the bone is broken but the skin remains unbroken.,simple fractures are when the bone is broken but the skin is not.,in a closed fracture the bone is broken but the skin remains intact.,14,12,13,13,simple fractures are when the bone is broken but the skin is not.,2,1,simple fractures are when the bone is broken but the skin is not.,,
150,"In open or compound fractures, the broken bone has punctured the skin and produced an open wound.",150,243sentences.150,243sentences,243sentences.bone_fracture,45,bone_fracture,bone_fracture,"In compound fractures, the broken bone punctures the skin, causing an open wound.","In open fractures, the broken bone has created an open wound by puncturing the skin.","The skin has been punctured by the broken bone in open or compound fractures, causing an open wound.",in open or compound fractures the broken bone has punctured the skin and produced an open wound.,in compound fractures the broken bone punctures the skin causing an open wound.,in open fractures the broken bone has created an open wound by puncturing the skin.,the skin has been punctured by the broken bone in open or compound fractures causing an open wound.,17,13,15,18,the skin has been punctured by the broken bone in open or compound fractures causing an open wound.,3,1,the skin has been punctured by the broken bone in open or compound fractures causing an open wound.,,
151,New ear piercings can become infected if they're not carefully cleaned.,151,243sentences.151,243sentences,243sentences.infection,46,infection,infection,New ear piercings can become contaminated if they are not maintained properly.,"If not properly cleaned, new ear piercings can become infected.",New ear piercings can become infected if they are not kept clean.,new ear piercings can become infected if they're not carefully cleaned.,new ear piercings can become contaminated if they are not maintained properly.,if not properly cleaned new ear piercings can become infected.,new ear piercings can become infected if they are not kept clean.,11,12,10,12,new ear piercings can become contaminated if they are not maintained properly.,1,1,new ear piercings can become contaminated if they are not maintained properly.,,
152,"Signs of infection include tenderness, swelling, or redness around the earlobe.",152,243sentences.152,243sentences,243sentences.infection,46,infection,infection,"Tenderness, swelling, or redness around the earlobe are indications of infection.","Infection can be indicated by tenderness, redness, or swelling around the earlobe.","The earlobe's tenderness, swelling, or redness indicates an infection.",signs of infection include tenderness swelling or redness around the earlobe.,tenderness swelling or redness around the earlobe are indications of infection.,infection can be indicated by tenderness redness or swelling around the earlobe.,the earlobe's tenderness swelling or redness indicates an infection.,11,11,12,9,tenderness swelling or redness around the earlobe are indications of infection.,1,0,tenderness swelling or redness around the earlobe are indications of infection.,,
153,"If you see these symptoms, clean the area and apply some ointment.",153,243sentences.153,243sentences,243sentences.infection,46,infection,infection,"If the symptoms mentioned are seen, clean the area and apply some ointment.","If the above symptoms are present, the area should be cleaned and ointment applied.",Clean the area and apply some ointment if the symptoms are observed.,if you see these symptoms clean the area and apply some ointment.,if the symptoms mentioned are seen clean the area and apply some ointment.,if the above symptoms are present the area should be cleaned and ointment applied.,clean the area and apply some ointment if the symptoms are observed.,12,13,14,12,clean the area and apply some ointment if the symptoms are observed.,3,0,clean the area and apply some ointment if the symptoms are observed.,,
154,"If the redness and swelling don't go away, contact your health care provider.",154,243sentences.154,243sentences,243sentences.infection,46,infection,infection,"If the redness and swelling persist, seek the advice of your healthcare provider.","If the redness and swelling do not go away, consult your healthcare provider.","If the redness and swelling remain, reach out to your healthcare provider.",if the redness and swelling don't go away contact your health care provider.,if the redness and swelling persist seek the advice of your healthcare provider.,if the redness and swelling do not go away consult your healthcare provider.,if the redness and swelling remain reach out to your healthcare provider.,13,13,13,12,if the redness and swelling persist seek the advice of your healthcare provider.,1,0,if the redness and swelling persist seek the advice of your healthcare provider.,,
155,A local hospital has initiated new measures to reduce infections.,155,243sentences.155,243sentences,243sentences.infection,47,infection,infection,A local hospital has introduced new measures to decrease infections.,The local hospital has taken new steps to lower the incidence of infections.,The hospital has implemented new methods to minimize the occurrence of infections.,a local hospital has initiated new measures to reduce infections.,a local hospital has introduced new measures to decrease infections.,the local hospital has taken new steps to lower the incidence of infections.,the hospital has implemented new methods to minimize the occurrence of infections.,10,10,13,12,a local hospital has introduced new measures to decrease infections.,1,0,a local hospital has introduced new measures to decrease infections.,,
156,They have improved hand washing habits and ensured that infected patients are isolated from other patients.,156,243sentences.156,243sentences,243sentences.infection,47,infection,infection,They have made a conscious effort to wash their hands more frequently and isolate infected patients from others.,They have implemented better hand hygiene practices and separated those who are infected from other patients.,"By enhancing their hand washing practices and segregating infected patients, they have improved the situation.",they have improved hand washing habits and ensured that infected patients are isolated from other patients.,they have made a conscious effort to wash their hands more frequently and isolate infected patients from others.,they have implemented better hand hygiene practices and separated those who are infected from other patients.,by enhancing their hand washing practices and segregating infected patients they have improved the situation.,16,18,16,15,they have implemented better hand hygiene practices and separated those who are infected from other patients.,2,0,they have implemented better hand hygiene practices and separated those who are infected from other patients.,,
157,The hospital has seen infection rates drop since the new measures began.,157,243sentences.157,243sentences,243sentences.infection,47,infection,infection,The new measures have led to a reduction in infection rates at the hospital.,The hospital has experienced a decrease in the number of infections since the initiation of the new measures.,The hospital's infection rate has declined as a result of the new measures put in place.,the hospital has seen infection rates drop since the new measures began.,the new measures have led to a reduction in infection rates at the hospital.,the hospital has experienced a decrease in the number of infections since the initiation of the new measures.,the hospital's infection rate has declined as a result of the new measures put in place.,12,14,18,16,the new measures have led to a reduction in infection rates at the hospital.,1,2,the new measures have led to a reduction in infection rates at the hospital.,,
158,"Scrubbing a wound with soap or alcohol delays healing, which increases the risk of infection.",158,243sentences.158,243sentences,243sentences.infection,48,infection,infection,"Cleaning a wound with soap or alcohol can slow down the healing process, which can make the wound more susceptible to infections.","Scrubbing a wound with soap or alcohol slows down the healing process, making it more vulnerable to infections.","When a wound is cleaned with soap or alcohol, it can cause the healing process to slow down, increasing the risk of infection.",scrubbing a wound with soap or alcohol delays healing which increases the risk of infection.,cleaning a wound with soap or alcohol can slow down the healing process which can make the wound more susceptible to infections.,scrubbing a wound with soap or alcohol slows down the healing process making it more vulnerable to infections.,when a wound is cleaned with soap or alcohol it can cause the healing process to slow down increasing the risk of infection.,15,22,18,23,scrubbing a wound with soap or alcohol slows down the healing process making it more vulnerable to infections.,2,3,scrubbing a wound with soap or alcohol slows down the healing process making it more vulnerable to infections.,,
159,Band-aids can increase the risk of infection by holding in heat and moisture.,159,243sentences.159,243sentences,243sentences.infection,48,infection,infection,"Band-aids can trap heat and moisture, which can raise the risk of infection.",The use of band-aids can increase the likelihood of infection by retaining heat and moisture.,"By retaining heat and moisture, band-aids can raise the risk of infection.",band-aids can increase the risk of infection by holding in heat and moisture.,band-aids can trap heat and moisture which can raise the risk of infection.,the use of band-aids can increase the likelihood of infection by retaining heat and moisture.,by retaining heat and moisture band-aids can raise the risk of infection.,13,13,15,12,band-aids can trap heat and moisture which can raise the risk of infection.,1,0,band-aids can trap heat and moisture which can raise the risk of infection.,,
